#File	results/reads/umis/164_MSI_R1.fastq.gz
#Total	16357253
#Matched	12596462	77.00842%
#Name	Reads	ReadsPct
QuantSeq FWD R1	6384620	39.03235%
RNA_Adapter_(RA3)_part_#_15013207	754582	4.61313%
Reverse_adapter	423529	2.58924%
TruSeq_Universal_Adapter	418579	2.55898%
I5_Nextera_Transposase_1	393805	2.40753%
RNA_Adapter_(RA5)_part_#_15013205	386176	2.36089%
Stop_Oligo_(STP)_8	378640	2.31481%
QuantSeq r1adapter	353924	2.16371%
Nextera_LMP_Read2_External_Adapter	336301	2.05597%
Illumina 3p RNA Adapter	269376	1.64683%
PhiX_read1_adapter	260333	1.59154%
I7_Nextera_Transposase_1	258134	1.57810%
I5_Adapter_Nextera	247988	1.51607%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	243185	1.48671%
Bisulfite_R2	213647	1.30613%
I5_Nextera_Transposase_2	143190	0.87539%
RNA_PCR_Primer_(RP1)_part_#_15013198	117920	0.72090%
I7_Nextera_Transposase_2	106995	0.65411%
I7_Adapter_Nextera_No_Barcode	85055	0.51998%
TruSeq_Adapter_Index_1_6	80541	0.49239%
Illumina Small RNA v1.5 3p Adapter	76520	0.46780%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	53407	0.32650%
PhiX_read2_adapter	28033	0.17138%
pcr_dimer	27637	0.16896%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	27018	0.16517%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	26552	0.16233%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	25544	0.15616%
PCR_Primers	23660	0.14465%
TruSeq_Adapter_Index_27	18342	0.11213%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	16920	0.10344%
RNA_PCR_Primer_Index_35_(RPI35)	16675	0.10194%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	14020	0.08571%
TruSeq_Adapter_Index_15	13289	0.08124%
RNA_PCR_Primer_Index_43_(RPI43)	12490	0.07636%
RNA_PCR_Primer_Index_45_(RPI45)	12268	0.07500%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	11646	0.07120%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	11370	0.06951%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	9567	0.05849%
TruSeq_Adapter_Index_25	9300	0.05686%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	9044	0.05529%
RNA_PCR_Primer_Index_13_(RPI13)	8858	0.05415%
TruSeq_Adapter_Index_8	8716	0.05329%
TruSeq_Adapter_Index_5	7879	0.04817%
TruSeq_Adapter_Index_13	7420	0.04536%
RNA_PCR_Primer_Index_44_(RPI44)	7346	0.04491%
RNA_PCR_Primer_Index_36_(RPI36)	7236	0.04424%
RNA_PCR_Primer_Index_14_(RPI14)	7043	0.04306%
RNA_PCR_Primer_Index_28_(RPI28)	6950	0.04249%
