#File	results/reads/umis/175_MSI_R1.fastq.gz
#Total	44371804
#Matched	36452105	82.15151%
#Name	Reads	ReadsPct
QuantSeq FWD R1	22717568	51.19821%
RNA_Adapter_(RA3)_part_#_15013207	1459594	3.28946%
TruSeq_Universal_Adapter	955439	2.15326%
I5_Nextera_Transposase_1	916795	2.06617%
Reverse_adapter	827387	1.86467%
QuantSeq r1adapter	821938	1.85239%
RNA_Adapter_(RA5)_part_#_15013205	811734	1.82939%
Stop_Oligo_(STP)_8	793173	1.78756%
Nextera_LMP_Read2_External_Adapter	775248	1.74716%
PhiX_read1_adapter	681297	1.53543%
Illumina 3p RNA Adapter	631523	1.42325%
I5_Adapter_Nextera	565402	1.27424%
I7_Nextera_Transposase_1	525777	1.18493%
Bisulfite_R2	454356	1.02397%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	446427	1.00611%
RNA_PCR_Primer_(RP1)_part_#_15013198	265097	0.59744%
I5_Nextera_Transposase_2	260958	0.58812%
I7_Nextera_Transposase_2	237722	0.53575%
I7_Adapter_Nextera_No_Barcode	202843	0.45714%
TruSeq_Adapter_Index_1_6	181666	0.40942%
Illumina Small RNA v1.5 3p Adapter	153359	0.34562%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	124061	0.27959%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	94544	0.21307%
PhiX_read2_adapter	87076	0.19624%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	75864	0.17097%
pcr_dimer	56685	0.12775%
TruSeq_Adapter_Index_27	52960	0.11936%
PCR_Primers	47972	0.10811%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	45518	0.10258%
RNA_PCR_Primer_Index_35_(RPI35)	43441	0.09790%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	41124	0.09268%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	37769	0.08512%
RNA_PCR_Primer_Index_43_(RPI43)	35242	0.07942%
RNA_PCR_Primer_Index_36_(RPI36)	33452	0.07539%
TruSeq_Adapter_Index_15	32844	0.07402%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	30930	0.06971%
RNA_PCR_Primer_Index_45_(RPI45)	29858	0.06729%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	27160	0.06121%
TruSeq_Adapter_Index_8	24954	0.05624%
TruSeq_Adapter_Index_25	24827	0.05595%
RNA_PCR_Primer_Index_44_(RPI44)	22866	0.05153%
TruSeq_Adapter_Index_5	22292	0.05024%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	22180	0.04999%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	21848	0.04924%
RNA_PCR_Primer_Index_28_(RPI28)	21356	0.04813%
TruSeq_Adapter_Index_13	21249	0.04789%
RNA_PCR_Primer_Index_34_(RPI34)	20791	0.04686%
RNA_PCR_Primer_Index_33_(RPI33)	20519	0.04624%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	19037	0.04290%
RNA_PCR_Primer_Index_13_(RPI13)	18162	0.04093%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	16931	0.03816%
RNA_PCR_Primer_Index_14_(RPI14)	16487	0.03716%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	16255	0.03663%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	16183	0.03647%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	15933	0.03591%
RNA_PCR_Primer_Index_29_(RPI29)	14967	0.03373%
RNA_PCR_Primer_Index_40_(RPI40)	14694	0.03312%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	14438	0.03254%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	14413	0.03248%
TruSeq_Adapter_Index_4	14410	0.03248%
TruSeq_Adapter_Index_12	14285	0.03219%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	14051	0.03167%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	14011	0.03158%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	13740	0.03097%
TruSeq_Adapter_Index_3	13392	0.03018%
TruSeq_Adapter_Index_10	12613	0.02843%
RNA_PCR_Primer_Index_32_(RPI32)	12599	0.02839%
TruSeq_Adapter_Index_7	12433	0.02802%
TruSeq_Adapter_Index_20	12368	0.02787%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	12296	0.02771%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	11556	0.02604%
RNA_PCR_Primer_Index_27_(RPI27)	11447	0.02580%
TruSeq_Adapter_Index_19	11370	0.02562%
RNA_PCR_Primer_Index_26_(RPI26)	11354	0.02559%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	11046	0.02489%
RNA_PCR_Primer_Index_15_(RPI15)	10999	0.02479%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	10800	0.02434%
RNA_PCR_Primer_Index_39_(RPI39)	9852	0.02220%
TruSeq_Adapter_Index_6	9377	0.02113%
