#File	results/reads/umis/226_MSI_R1.fastq.gz
#Total	23275149
#Matched	19301530	82.92763%
#Name	Reads	ReadsPct
QuantSeq FWD R1	12361837	53.11174%
RNA_Adapter_(RA3)_part_#_15013207	765485	3.28885%
I5_Nextera_Transposase_1	480626	2.06497%
TruSeq_Universal_Adapter	465886	2.00165%
RNA_Adapter_(RA5)_part_#_15013205	430393	1.84915%
Stop_Oligo_(STP)_8	414275	1.77990%
Reverse_adapter	408077	1.75327%
Nextera_LMP_Read2_External_Adapter	398032	1.71012%
QuantSeq r1adapter	374749	1.61008%
PhiX_read1_adapter	360624	1.54940%
Illumina 3p RNA Adapter	307217	1.31994%
I5_Adapter_Nextera	286809	1.23225%
I7_Nextera_Transposase_1	265393	1.14024%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	248528	1.06778%
Bisulfite_R2	232142	0.99738%
RNA_PCR_Primer_(RP1)_part_#_15013198	139776	0.60054%
I5_Nextera_Transposase_2	131456	0.56479%
I7_Nextera_Transposase_2	114720	0.49289%
I7_Adapter_Nextera_No_Barcode	101609	0.43656%
TruSeq_Adapter_Index_1_6	92430	0.39712%
Illumina Small RNA v1.5 3p Adapter	79521	0.34166%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	46717	0.20072%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	41871	0.17990%
PhiX_read2_adapter	41504	0.17832%
pcr_dimer	40394	0.17355%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	36252	0.15575%
PCR_Primers	32883	0.14128%
TruSeq_Adapter_Index_27	27900	0.11987%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	26443	0.11361%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	22592	0.09706%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	18821	0.08086%
RNA_PCR_Primer_Index_43_(RPI43)	17917	0.07698%
RNA_PCR_Primer_Index_35_(RPI35)	17541	0.07536%
TruSeq_Adapter_Index_15	17147	0.07367%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	16811	0.07223%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	12861	0.05526%
RNA_PCR_Primer_Index_36_(RPI36)	12124	0.05209%
RNA_PCR_Primer_Index_44_(RPI44)	12087	0.05193%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	11880	0.05104%
TruSeq_Adapter_Index_25	11436	0.04913%
RNA_PCR_Primer_Index_45_(RPI45)	11239	0.04829%
RNA_PCR_Primer_Index_13_(RPI13)	10915	0.04690%
TruSeq_Adapter_Index_5	10575	0.04543%
RNA_PCR_Primer_Index_34_(RPI34)	10088	0.04334%
TruSeq_Adapter_Index_8	9949	0.04275%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	9645	0.04144%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	9624	0.04135%
RNA_PCR_Primer_Index_28_(RPI28)	9232	0.03966%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	8683	0.03731%
TruSeq_Adapter_Index_13	8386	0.03603%
RNA_PCR_Primer_Index_14_(RPI14)	8318	0.03574%
RNA_PCR_Primer_Index_33_(RPI33)	8276	0.03556%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	8227	0.03535%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	7858	0.03376%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	7435	0.03194%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	7286	0.03130%
TruSeq_Adapter_Index_19	6960	0.02990%
