#File	results/reads/umis/195_MSI_R1.fastq.gz
#Total	12456120
#Matched	10192643	81.82839%
#Name	Reads	ReadsPct
QuantSeq FWD R1	6320619	50.74308%
RNA_Adapter_(RA3)_part_#_15013207	447943	3.59617%
TruSeq_Universal_Adapter	271180	2.17708%
I5_Nextera_Transposase_1	249227	2.00084%
RNA_Adapter_(RA5)_part_#_15013205	234709	1.88429%
Reverse_adapter	230453	1.85012%
Nextera_LMP_Read2_External_Adapter	217293	1.74447%
Stop_Oligo_(STP)_8	217205	1.74376%
QuantSeq r1adapter	211501	1.69797%
PhiX_read1_adapter	205093	1.64652%
Illumina 3p RNA Adapter	167120	1.34167%
I5_Adapter_Nextera	166243	1.33463%
I7_Nextera_Transposase_1	144095	1.15682%
Bisulfite_R2	134121	1.07675%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	120658	0.96866%
RNA_PCR_Primer_(RP1)_part_#_15013198	78973	0.63401%
I5_Nextera_Transposase_2	67896	0.54508%
I7_Nextera_Transposase_2	61238	0.49163%
I7_Adapter_Nextera_No_Barcode	53924	0.43291%
TruSeq_Adapter_Index_1_6	49043	0.39373%
Illumina Small RNA v1.5 3p Adapter	43717	0.35097%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	34521	0.27714%
PhiX_read2_adapter	25088	0.20141%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	24377	0.19570%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	18799	0.15092%
TruSeq_Adapter_Index_15	17248	0.13847%
TruSeq_Adapter_Index_27	17076	0.13709%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	16585	0.13315%
RNA_PCR_Primer_Index_35_(RPI35)	15670	0.12580%
pcr_dimer	13030	0.10461%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	12346	0.09912%
PCR_Primers	12055	0.09678%
RNA_PCR_Primer_Index_45_(RPI45)	11001	0.08832%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	10557	0.08475%
RNA_PCR_Primer_Index_43_(RPI43)	10211	0.08198%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	7844	0.06297%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	7843	0.06297%
RNA_PCR_Primer_Index_44_(RPI44)	7515	0.06033%
RNA_PCR_Primer_Index_36_(RPI36)	7356	0.05906%
TruSeq_Adapter_Index_25	7248	0.05819%
TruSeq_Adapter_Index_8	6160	0.04945%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	5987	0.04806%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	5904	0.04740%
RNA_PCR_Primer_Index_13_(RPI13)	5754	0.04619%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	5744	0.04611%
TruSeq_Adapter_Index_5	5541	0.04448%
RNA_PCR_Primer_Index_28_(RPI28)	5277	0.04236%
RNA_PCR_Primer_Index_34_(RPI34)	5228	0.04197%
TruSeq_Adapter_Index_13	5063	0.04065%
RNA_PCR_Primer_Index_14_(RPI14)	5031	0.04039%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	4884	0.03921%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	4875	0.03914%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	4605	0.03697%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	4337	0.03482%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	4146	0.03328%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	4048	0.03250%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	4005	0.03215%
RNA_PCR_Primer_Index_33_(RPI33)	3948	0.03170%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	3878	0.03113%
RNA_PCR_Primer_Index_40_(RPI40)	3861	0.03100%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	3714	0.02982%
TruSeq_Adapter_Index_12	3706	0.02975%
TruSeq_Adapter_Index_4	3677	0.02952%
