#File	results/reads/umis/115_MSI_R1.fastq.gz
#Total	8774373
#Matched	7086282	80.76112%
#Name	Reads	ReadsPct
QuantSeq FWD R1	4293960	48.93751%
RNA_Adapter_(RA3)_part_#_15013207	357271	4.07176%
Reverse_adapter	214568	2.44539%
I5_Nextera_Transposase_1	200516	2.28525%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	169801	1.93519%
Stop_Oligo_(STP)_8	161663	1.84245%
Nextera_LMP_Read2_External_Adapter	153997	1.75508%
QuantSeq r1adapter	153748	1.75224%
RNA_Adapter_(RA5)_part_#_15013205	151679	1.72866%
TruSeq_Universal_Adapter	137029	1.56170%
I7_Nextera_Transposase_1	131775	1.50182%
I5_Nextera_Transposase_2	106727	1.21635%
PhiX_read1_adapter	104118	1.18661%
Bisulfite_R2	99137	1.12985%
I5_Adapter_Nextera	76020	0.86639%
Illumina 3p RNA Adapter	75628	0.86192%
RNA_PCR_Primer_(RP1)_part_#_15013198	59061	0.67311%
TruSeq_Adapter_Index_1_6	58686	0.66883%
I7_Nextera_Transposase_2	52987	0.60388%
I7_Adapter_Nextera_No_Barcode	48253	0.54993%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	41347	0.47122%
Illumina Small RNA v1.5 3p Adapter	26922	0.30683%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	19725	0.22480%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	15109	0.17219%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	11677	0.13308%
PhiX_read2_adapter	9207	0.10493%
pcr_dimer	9094	0.10364%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	9083	0.10352%
PCR_Primers	8866	0.10104%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	6665	0.07596%
RNA_PCR_Primer_Index_43_(RPI43)	5186	0.05910%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	4727	0.05387%
RNA_PCR_Primer_Index_36_(RPI36)	4266	0.04862%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	4034	0.04597%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	3902	0.04447%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	3804	0.04335%
TruSeq_Adapter_Index_19	3788	0.04317%
TruSeq_Adapter_Index_27	3264	0.03720%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	3066	0.03494%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	2809	0.03201%
TruSeq_Adapter_Index_16	2592	0.02954%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	2562	0.02920%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	2481	0.02828%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	2426	0.02765%
RNA_PCR_Primer_Index_35_(RPI35)	2387	0.02720%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	2376	0.02708%
TruSeq_Adapter_Index_8	2334	0.02660%
TruSeq_Adapter_Index_15	2298	0.02619%
RNA_PCR_Primer_Index_13_(RPI13)	2132	0.02430%
TruSeq_Adapter_Index_13	2102	0.02396%
TruSeq_Adapter_Index_20	2095	0.02388%
RNA_PCR_Primer_Index_45_(RPI45)	2093	0.02385%
TruSeq_Adapter_Index_9	1893	0.02157%
TruSeq_Adapter_Index_6	1887	0.02151%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	1772	0.02020%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	1757	0.02002%
TruSeq_Adapter_Index_5	1513	0.01724%
TruSeq_Adapter_Index_11	1499	0.01708%
I7_Primer_Nextera_XT_Index_Kit_v2_N718	1378	0.01570%
RNA_PCR_Primer_Index_33_(RPI33)	1370	0.01561%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	1354	0.01543%
RNA_PCR_Primer_Index_28_(RPI28)	1349	0.01537%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	1263	0.01439%
RNA_PCR_Primer_Index_44_(RPI44)	1244	0.01418%
TruSeq_Adapter_Index_3	1238	0.01411%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	1209	0.01378%
RNA_PCR_Primer_Index_14_(RPI14)	1102	0.01256%
RNA_PCR_Primer_Index_34_(RPI34)	1100	0.01254%
