#File	results/reads/umis/183_MSI_R1.fastq.gz
#Total	13837395
#Matched	11598916	83.82297%
#Name	Reads	ReadsPct
QuantSeq FWD R1	7909111	57.15751%
RNA_Adapter_(RA3)_part_#_15013207	519144	3.75175%
Reverse_adapter	276606	1.99897%
I5_Nextera_Transposase_1	245356	1.77314%
RNA_Adapter_(RA5)_part_#_15013205	224257	1.62066%
Nextera_LMP_Read2_External_Adapter	206980	1.49580%
TruSeq_Universal_Adapter	204943	1.48108%
QuantSeq r1adapter	196570	1.42057%
Stop_Oligo_(STP)_8	189481	1.36934%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	177181	1.28045%
I7_Nextera_Transposase_1	160688	1.16126%
PhiX_read1_adapter	157240	1.13634%
I5_Adapter_Nextera	139896	1.01100%
Bisulfite_R2	130475	0.94292%
Illumina 3p RNA Adapter	112482	0.81288%
I5_Nextera_Transposase_2	92558	0.66890%
RNA_PCR_Primer_(RP1)_part_#_15013198	70647	0.51055%
I7_Nextera_Transposase_2	62437	0.45122%
TruSeq_Adapter_Index_1_6	54153	0.39135%
I7_Adapter_Nextera_No_Barcode	52423	0.37885%
Illumina Small RNA v1.5 3p Adapter	33735	0.24380%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	33565	0.24257%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	24385	0.17623%
pcr_dimer	23574	0.17036%
PCR_Primers	19019	0.13745%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	18133	0.13104%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	13286	0.09602%
PhiX_read2_adapter	13232	0.09562%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	12138	0.08772%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	11176	0.08077%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	9770	0.07061%
RNA_PCR_Primer_Index_35_(RPI35)	9489	0.06858%
RNA_PCR_Primer_Index_45_(RPI45)	8459	0.06113%
RNA_PCR_Primer_Index_43_(RPI43)	7801	0.05638%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	7414	0.05358%
TruSeq_Adapter_Index_27	7174	0.05185%
