#File	results/reads/umis/162_MSI_R1.fastq.gz
#Total	12014492
#Matched	11966834	99.60333%
#Name	Reads	ReadsPct
QuantSeq FWD R1	11679180	97.20910%
pcr_dimer	112099	0.93303%
PCR_Primers	80945	0.67373%
I5_Nextera_Transposase_1	11057	0.09203%
RNA_Adapter_(RA3)_part_#_15013207	9960	0.08290%
TruSeq_Universal_Adapter	7149	0.05950%
Bisulfite_R2	6827	0.05682%
I7_Nextera_Transposase_1	5226	0.04350%
Reverse_adapter	5007	0.04167%
Nextera_LMP_Read2_External_Adapter	4635	0.03858%
QuantSeq r1adapter	4521	0.03763%
PhiX_read1_adapter	4386	0.03651%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	4196	0.03492%
Illumina 3p RNA Adapter	3929	0.03270%
Stop_Oligo_(STP)_8	3270	0.02722%
RNA_Adapter_(RA5)_part_#_15013205	2550	0.02122%
I5_Nextera_Transposase_2	1936	0.01611%
I5_Adapter_Nextera	1849	0.01539%
RNA_PCR_Primer_(RP1)_part_#_15013198	1564	0.01302%
I7_Nextera_Transposase_2	1549	0.01289%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	1178	0.00980%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	1131	0.00941%
TruSeq_Adapter_Index_1_6	1098	0.00914%
I7_Adapter_Nextera_No_Barcode	991	0.00825%
Illumina Small RNA v1.5 3p Adapter	711	0.00592%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	677	0.00563%
TruSeq_Adapter_Index_16	568	0.00473%
PhiX_read2_adapter	537	0.00447%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	476	0.00396%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	408	0.00340%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	400	0.00333%
RNA_PCR_Primer_Index_28_(RPI28)	384	0.00320%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	336	0.00280%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	296	0.00246%
TruSeq_Adapter_Index_13	262	0.00218%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	260	0.00216%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	212	0.00176%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	201	0.00167%
RNA_PCR_Primer_Index_43_(RPI43)	187	0.00156%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	176	0.00146%
TruSeq_Adapter_Index_8	172	0.00143%
TruSeq_Adapter_Index_27	167	0.00139%
RNA_PCR_Primer_Index_33_(RPI33)	159	0.00132%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	157	0.00131%
TruSeq_Adapter_Index_15	152	0.00127%
TruSeq_Adapter_Index_3	149	0.00124%
