#File	results/reads/umis/173_MSI_R1.fastq.gz
#Total	17588492
#Matched	14359613	81.64209%
#Name	Reads	ReadsPct
QuantSeq FWD R1	8882816	50.50357%
RNA_Adapter_(RA3)_part_#_15013207	604326	3.43592%
TruSeq_Universal_Adapter	373806	2.12529%
I5_Nextera_Transposase_1	360962	2.05226%
Reverse_adapter	338037	1.92192%
Stop_Oligo_(STP)_8	325930	1.85309%
RNA_Adapter_(RA5)_part_#_15013205	325898	1.85290%
QuantSeq r1adapter	316663	1.80040%
Nextera_LMP_Read2_External_Adapter	299754	1.70426%
PhiX_read1_adapter	269400	1.53168%
Illumina 3p RNA Adapter	244659	1.39102%
I5_Adapter_Nextera	227159	1.29152%
I7_Nextera_Transposase_1	208059	1.18293%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	184040	1.04637%
Bisulfite_R2	176223	1.00192%
I5_Nextera_Transposase_2	109546	0.62283%
RNA_PCR_Primer_(RP1)_part_#_15013198	101169	0.57520%
I7_Nextera_Transposase_2	96365	0.54789%
I7_Adapter_Nextera_No_Barcode	79786	0.45363%
TruSeq_Adapter_Index_1_6	72262	0.41085%
Illumina Small RNA v1.5 3p Adapter	61185	0.34787%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	48520	0.27586%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	38328	0.21792%
PhiX_read2_adapter	35820	0.20366%
pcr_dimer	28178	0.16021%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	26813	0.15245%
PCR_Primers	22376	0.12722%
TruSeq_Adapter_Index_27	20043	0.11396%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	17840	0.10143%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	15310	0.08705%
RNA_PCR_Primer_Index_35_(RPI35)	14775	0.08400%
TruSeq_Adapter_Index_15	14607	0.08305%
RNA_PCR_Primer_Index_43_(RPI43)	13365	0.07599%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	13357	0.07594%
TruSeq_Adapter_Index_10	13223	0.07518%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	13051	0.07420%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	11422	0.06494%
RNA_PCR_Primer_Index_36_(RPI36)	10658	0.06060%
RNA_PCR_Primer_Index_45_(RPI45)	10383	0.05903%
TruSeq_Adapter_Index_25	9948	0.05656%
RNA_PCR_Primer_Index_44_(RPI44)	9009	0.05122%
TruSeq_Adapter_Index_5	8976	0.05103%
TruSeq_Adapter_Index_8	8844	0.05028%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	8656	0.04921%
RNA_PCR_Primer_Index_28_(RPI28)	8152	0.04635%
TruSeq_Adapter_Index_13	8082	0.04595%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	7891	0.04486%
RNA_PCR_Primer_Index_34_(RPI34)	7469	0.04247%
RNA_PCR_Primer_Index_14_(RPI14)	7190	0.04088%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	7155	0.04068%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	7036	0.04000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	6878	0.03911%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	6561	0.03730%
RNA_PCR_Primer_Index_13_(RPI13)	6437	0.03660%
RNA_PCR_Primer_Index_33_(RPI33)	6280	0.03571%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	6248	0.03552%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	6048	0.03439%
RNA_PCR_Primer_Index_40_(RPI40)	5886	0.03347%
TruSeq_Adapter_Index_12	5773	0.03282%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	5726	0.03256%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	5715	0.03249%
TruSeq_Adapter_Index_4	5637	0.03205%
TruSeq_Adapter_Index_3	5569	0.03166%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	5451	0.03099%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	5263	0.02992%
RNA_PCR_Primer_Index_32_(RPI32)	5167	0.02938%
TruSeq_Adapter_Index_7	4911	0.02792%
TruSeq_Adapter_Index_20	4872	0.02770%
RNA_PCR_Primer_Index_27_(RPI27)	4833	0.02748%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	4811	0.02735%
RNA_PCR_Primer_Index_29_(RPI29)	4792	0.02725%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	4580	0.02604%
RNA_PCR_Primer_Index_26_(RPI26)	4414	0.02510%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	4374	0.02487%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	4144	0.02356%
RNA_PCR_Primer_Index_15_(RPI15)	4031	0.02292%
