#File	results/reads/umis/112_MSI_R1.fastq.gz
#Total	13149127
#Matched	10057413	76.48731%
#Name	Reads	ReadsPct
QuantSeq FWD R1	5012054	38.11701%
RNA_Adapter_(RA3)_part_#_15013207	550198	4.18429%
QuantSeq r1adapter	400607	3.04664%
Reverse_adapter	366721	2.78894%
TruSeq_Universal_Adapter	337892	2.56969%
I5_Nextera_Transposase_1	320191	2.43507%
RNA_Adapter_(RA5)_part_#_15013205	319175	2.42735%
Stop_Oligo_(STP)_8	294141	2.23696%
Nextera_LMP_Read2_External_Adapter	268530	2.04219%
Illumina 3p RNA Adapter	219494	1.66927%
I5_Adapter_Nextera	207495	1.57801%
PhiX_read1_adapter	207063	1.57473%
I7_Nextera_Transposase_1	205982	1.56651%
Bisulfite_R2	174702	1.32862%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	160305	1.21913%
I5_Nextera_Transposase_2	128329	0.97595%
RNA_PCR_Primer_(RP1)_part_#_15013198	105935	0.80564%
I7_Nextera_Transposase_2	101391	0.77109%
TruSeq_Adapter_Index_1_6	66986	0.50943%
I7_Adapter_Nextera_No_Barcode	62568	0.47583%
Illumina Small RNA v1.5 3p Adapter	58586	0.44555%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	46645	0.35474%
PhiX_read2_adapter	24212	0.18413%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	17874	0.13593%
pcr_dimer	14212	0.10808%
TruSeq_Adapter_Index_27	13564	0.10316%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	12592	0.09576%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	12151	0.09241%
PCR_Primers	11641	0.08853%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	10945	0.08324%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	10325	0.07852%
RNA_PCR_Primer_Index_35_(RPI35)	10266	0.07807%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	10084	0.07669%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	10003	0.07607%
TruSeq_Adapter_Index_15	8989	0.06836%
RNA_PCR_Primer_Index_43_(RPI43)	8624	0.06559%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	8586	0.06530%
RNA_PCR_Primer_Index_45_(RPI45)	7345	0.05586%
TruSeq_Adapter_Index_5	7169	0.05452%
RNA_PCR_Primer_Index_13_(RPI13)	7162	0.05447%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	6667	0.05070%
TruSeq_Adapter_Index_25	6426	0.04887%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	6247	0.04751%
TruSeq_Adapter_Index_8	6222	0.04732%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	6170	0.04692%
TruSeq_Adapter_Index_13	5991	0.04556%
RNA_PCR_Primer_Index_36_(RPI36)	5956	0.04530%
RNA_PCR_Primer_Index_28_(RPI28)	5650	0.04297%
RNA_PCR_Primer_Index_44_(RPI44)	5555	0.04225%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	5539	0.04212%
RNA_PCR_Primer_Index_34_(RPI34)	5356	0.04073%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	4723	0.03592%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	4699	0.03574%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	4537	0.03450%
RNA_PCR_Primer_Index_40_(RPI40)	4356	0.03313%
TruSeq_Adapter_Index_12	4318	0.03284%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	4122	0.03135%
RNA_PCR_Primer_Index_14_(RPI14)	4086	0.03107%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	4075	0.03099%
RNA_PCR_Primer_Index_29_(RPI29)	4019	0.03056%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	3973	0.03021%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	3953	0.03006%
TruSeq_Adapter_Index_10	3788	0.02881%
TruSeq_Adapter_Index_4	3713	0.02824%
TruSeq_Adapter_Index_7	3678	0.02797%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	3654	0.02779%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	3609	0.02745%
TruSeq_Adapter_Index_3	3465	0.02635%
RNA_PCR_Primer_Index_27_(RPI27)	3456	0.02628%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	3428	0.02607%
RNA_PCR_Primer_Index_19_(RPI19)	3293	0.02504%
RNA_PCR_Primer_Index_39_(RPI39)	3278	0.02493%
RNA_PCR_Primer_Index_32_(RPI32)	3242	0.02466%
RNA_PCR_Primer_Index_33_(RPI33)	3092	0.02351%
TruSeq_Adapter_Index_20	3088	0.02348%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	2955	0.02247%
RNA_PCR_Primer_Index_26_(RPI26)	2916	0.02218%
RNA_PCR_Primer_Index_15_(RPI15)	2798	0.02128%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N712	2710	0.02061%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	2708	0.02059%
TruSeq_Adapter_Index_9	2665	0.02027%
TruSeq_Adapter_Index_6	2429	0.01847%
TruSeq_Adapter_Index_19	2418	0.01839%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	2379	0.01809%
I7_Primer_Nextera_XT_Index_Kit_v2_N716	2304	0.01752%
TruSeq_Adapter_Index_11	2262	0.01720%
RNA_PCR_Primer_Index_47_(RPI47)	2235	0.01700%
RNA_PCR_Primer_Index_38_(RPI38)	2108	0.01603%
RNA_PCR_Primer_Index_46_(RPI46)	2074	0.01577%
TruSeq_Adapter_Index_2	2019	0.01535%
I7_Primer_Nextera_XT_Index_Kit_v2_N722	1910	0.01453%
TruSeq_Adapter_Index_14	1880	0.01430%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	1786	0.01358%
RNA_PCR_Primer_Index_16_(RPI16)	1745	0.01327%
TruSeq_Adapter_Index_18_7	1679	0.01277%
I7_Primer_Nextera_XT_Index_Kit_v2_N724	1622	0.01234%
RNA_PCR_Primer_Index_25_(RPI25)	1617	0.01230%
RNA_PCR_Primer_Index_17_(RPI17)	1460	0.01110%
RNA_PCR_Primer_Index_20_(RPI20)	1448	0.01101%
TruSeq_Adapter_Index_16	1417	0.01078%
RNA_PCR_Primer_Index_37_(RPI37)	1381	0.01050%
RNA_PCR_Primer_Index_24_(RPI24)	1358	0.01033%
TruSeq_Adapter_Index_23	1354	0.01030%
I7_Primer_Nextera_XT_Index_Kit_v2_N718	1342	0.01021%
TruSeq_Adapter_Index_21	1322	0.01005%
RNA_PCR_Primer_Index_30_(RPI30)	1301	0.00989%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	1217	0.00926%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	1186	0.00902%
RNA_PCR_Primer_Index_48_(RPI48)	1166	0.00887%
RNA_PCR_Primer_Index_42_(RPI42)	1158	0.00881%
I7_Primer_Nextera_XT_Index_Kit_v2_N721	1135	0.00863%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	1126	0.00856%
I7_Primer_Nextera_XT_Index_Kit_v2_N719	1080	0.00821%
Bisulfite_R1	1006	0.00765%
RNA_PCR_Primer_Index_31_(RPI31)	933	0.00710%
I7_Primer_Nextera_XT_Index_Kit_v2_N723	850	0.00646%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	793	0.00603%
RNA_PCR_Primer_Index_21_(RPI21)	653	0.00497%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	651	0.00495%
TruSeq_Adapter_Index_22	622	0.00473%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	606	0.00461%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	606	0.00461%
RNA_PCR_Primer_Index_23_(RPI23)	599	0.00456%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	525	0.00399%
RNA_PCR_Primer_Index_18_(RPI18)	491	0.00373%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N709	423	0.00322%
RNA_PCR_Primer_Index_41_(RPI41)	376	0.00286%
RNA_PCR_Primer_Index_22_(RPI22)	251	0.00191%
RNA_RT_Primer_(RTP)_part_#_15013981	200	0.00152%
