#File	results/reads/umis/184_MSI_R1.fastq.gz
#Total	20640726
#Matched	15856109	76.81953%
#Name	Reads	ReadsPct
QuantSeq FWD R1	7935600	38.44632%
RNA_Adapter_(RA3)_part_#_15013207	965490	4.67760%
Reverse_adapter	583431	2.82660%
QuantSeq r1adapter	538322	2.60806%
I5_Nextera_Transposase_1	512467	2.48280%
RNA_Adapter_(RA5)_part_#_15013205	500839	2.42646%
TruSeq_Universal_Adapter	476347	2.30780%
Nextera_LMP_Read2_External_Adapter	455804	2.20828%
Stop_Oligo_(STP)_8	439850	2.13098%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	353659	1.71340%
I7_Nextera_Transposase_1	333675	1.61659%
PhiX_read1_adapter	305609	1.48061%
Illumina 3p RNA Adapter	299476	1.45090%
I5_Adapter_Nextera	294099	1.42485%
Bisulfite_R2	266465	1.29097%
I5_Nextera_Transposase_2	205455	0.99539%
RNA_PCR_Primer_(RP1)_part_#_15013198	162693	0.78821%
I7_Nextera_Transposase_2	140623	0.68129%
TruSeq_Adapter_Index_1_6	120181	0.58225%
I7_Adapter_Nextera_No_Barcode	118612	0.57465%
Illumina Small RNA v1.5 3p Adapter	90273	0.43735%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	73176	0.35452%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	42526	0.20603%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	34421	0.16676%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	26618	0.12896%
PhiX_read2_adapter	24859	0.12044%
pcr_dimer	24187	0.11718%
PCR_Primers	22726	0.11010%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	21181	0.10262%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	20631	0.09995%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	18575	0.08999%
TruSeq_Adapter_Index_27	17606	0.08530%
RNA_PCR_Primer_Index_43_(RPI43)	16708	0.08095%
RNA_PCR_Primer_Index_35_(RPI35)	16041	0.07772%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	15653	0.07584%
TruSeq_Adapter_Index_15	14670	0.07107%
RNA_PCR_Primer_Index_45_(RPI45)	13847	0.06709%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	11547	0.05594%
RNA_PCR_Primer_Index_36_(RPI36)	11225	0.05438%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	10899	0.05280%
TruSeq_Adapter_Index_8	9761	0.04729%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	9760	0.04729%
TruSeq_Adapter_Index_5	9356	0.04533%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	8274	0.04009%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	7685	0.03723%
TruSeq_Adapter_Index_25	7271	0.03523%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	7134	0.03456%
TruSeq_Adapter_Index_19	7111	0.03445%
TruSeq_Adapter_Index_13	6732	0.03262%
RNA_PCR_Primer_Index_14_(RPI14)	6661	0.03227%
RNA_PCR_Primer_Index_40_(RPI40)	6525	0.03161%
RNA_PCR_Primer_Index_33_(RPI33)	6505	0.03152%
RNA_PCR_Primer_Index_28_(RPI28)	6479	0.03139%
RNA_PCR_Primer_Index_34_(RPI34)	6335	0.03069%
TruSeq_Adapter_Index_20	6140	0.02975%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	6090	0.02950%
RNA_PCR_Primer_Index_13_(RPI13)	6039	0.02926%
RNA_PCR_Primer_Index_44_(RPI44)	5978	0.02896%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	5640	0.02732%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	5486	0.02658%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	5313	0.02574%
TruSeq_Adapter_Index_12	5288	0.02562%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	5263	0.02550%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	5214	0.02526%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	4970	0.02408%
TruSeq_Adapter_Index_3	4794	0.02323%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	4684	0.02269%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	4639	0.02247%
RNA_PCR_Primer_Index_32_(RPI32)	4623	0.02240%
TruSeq_Adapter_Index_4	4622	0.02239%
TruSeq_Adapter_Index_6	4591	0.02224%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	4570	0.02214%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N712	4052	0.01963%
TruSeq_Adapter_Index_7	4023	0.01949%
RNA_PCR_Primer_Index_29_(RPI29)	4020	0.01948%
RNA_PCR_Primer_Index_26_(RPI26)	3807	0.01844%
TruSeq_Adapter_Index_10	3743	0.01813%
TruSeq_Adapter_Index_9	3681	0.01783%
RNA_PCR_Primer_Index_27_(RPI27)	3582	0.01735%
RNA_PCR_Primer_Index_39_(RPI39)	3483	0.01687%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	3463	0.01678%
TruSeq_Adapter_Index_11	3441	0.01667%
RNA_PCR_Primer_Index_38_(RPI38)	3422	0.01658%
