#File	results/reads/umis/187_MSI_R1.fastq.gz
#Total	2561400
#Matched	2204836	86.07933%
#Name	Reads	ReadsPct
QuantSeq FWD R1	1602502	62.56352%
RNA_Adapter_(RA3)_part_#_15013207	69510	2.71375%
TruSeq_Universal_Adapter	43515	1.69888%
I5_Nextera_Transposase_1	37893	1.47939%
Stop_Oligo_(STP)_8	37308	1.45655%
RNA_Adapter_(RA5)_part_#_15013205	36977	1.44362%
Reverse_adapter	35982	1.40478%
QuantSeq r1adapter	34846	1.36043%
Nextera_LMP_Read2_External_Adapter	32897	1.28434%
PhiX_read1_adapter	30379	1.18603%
Illumina 3p RNA Adapter	27507	1.07390%
I5_Adapter_Nextera	25760	1.00570%
I7_Nextera_Transposase_1	22107	0.86308%
Bisulfite_R2	19450	0.75935%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	16723	0.65289%
RNA_PCR_Primer_(RP1)_part_#_15013198	10456	0.40821%
I5_Nextera_Transposase_2	10298	0.40205%
I7_Nextera_Transposase_2	9698	0.37862%
pcr_dimer	8433	0.32923%
Illumina Small RNA v1.5 3p Adapter	7547	0.29464%
I7_Adapter_Nextera_No_Barcode	7484	0.29218%
TruSeq_Adapter_Index_1_6	7211	0.28153%
PCR_Primers	6684	0.26095%
PhiX_read2_adapter	4284	0.16725%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	3728	0.14555%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	3572	0.13945%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	3062	0.11954%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	2322	0.09065%
TruSeq_Adapter_Index_27	1843	0.07195%
RNA_PCR_Primer_Index_35_(RPI35)	1589	0.06204%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	1373	0.05360%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	1297	0.05064%
RNA_PCR_Primer_Index_43_(RPI43)	1286	0.05021%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	1231	0.04806%
RNA_PCR_Primer_Index_14_(RPI14)	1228	0.04794%
RNA_PCR_Primer_Index_45_(RPI45)	1189	0.04642%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	1187	0.04634%
TruSeq_Adapter_Index_25	1078	0.04209%
RNA_PCR_Primer_Index_44_(RPI44)	1049	0.04095%
TruSeq_Adapter_Index_15	1016	0.03967%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	977	0.03814%
